,text,language
37,"»

Le jeune mousquetaire était en excellente disposition pour trépasser
héroïquement. 

Il déchira lentement le papier que d’Artagnan lui avait si
généreusement remis. 

«Ceci est ma condamnation, dit d’Artagnan; il m’épargne l’ennui de la
Bastille et les lenteurs d’un jugement",french
38,"

— Eh bien, nous mettrons tout simplement: «Milord, vous souvient- il de
certain petit enclos où l’on vous sauva la vie?»

— Mon cher d’Artagnan, dit Athos, vous ne serez jamais qu’un fort
mauvais rédacteur: «Où l’on vous sauva la vie!» Fi donc! ce n’est pas
digne",french
39,"

— Or, se hâta d’interrompre le jésuite en voyant que son acolyte se
fourvoyait, or votre thèse plaira aux dames, voilà tout; elle aura le
succès d’une plaidoirie de maître Patru. 

— Plaise à Dieu! s’écria Aramis transporté",french
40," After that, she took the baby out of its little
cradle, and nursed it.  After that, she cleared the dinner table;
after that, came in with another cap on, and her work-box, and the
yard-measure, and the bit of wax-candle, all just the same as ever",english
41,"

D’ailleurs elle sentait, comme on sent venir un orage, que cette issue
était proche et ne pouvait manquer d’être terrible. 

Le principal pour elle, comme nous l’avons dit, était donc de tenir Mme
Bonacieux entre ses mains",french
42," You doen’t need to be
so fearsome, and take on so much.  What? You’ll go along with me?--Well!
come along with me--come! If her uncle was turned out of house and home,
and forced to lay down in a dyke, Mas’r Davy,’ said Mr",english
43," When we had slices enough
done to begin upon, we fell-to, with our sleeves still tucked up at the
wrist, more slices sputtering and blazing on the fire, and our attention
divided between the mutton on our plates, and the mutton then preparing",english
44," Creakle.  ‘But you will soon.  Hey?’

‘You will soon.  Hey?’ repeated the man with the wooden leg.  I afterwards
found that he generally acted, with his strong voice, as Mr.  Creakle’s
interpreter to the boys",english
45," La lettre est là. »

Et la reine ramena sa belle main à son corsage. 

«Alors donnez-moi cette lettre, madame, dit le chancelier. 

— Je ne la donnerai qu’au roi, monsieur, dit Anne. 

— Si le roi eût voulu que cette lettre lui fût remise, madame, il vous
l’eût demandée lui-même",french
46,"

‘You have a good deal of intelligence for a little fellow,’ he said,
with a grave smile that belonged to him, ‘and you understood me very
well, I see.  Wash that face, sir, and come down with me. ’

He pointed to the washing-stand, which I had made out to be like Mrs",english
47," ‘Janet,’ ringing the bell, ‘my
compliments to Mr.  Dick, and beg him to come down. ’

Until he came, my aunt sat perfectly upright and stiff, frowning at the
wall.  When he came, my aunt performed the ceremony of introduction",english
48,"»

Mme Bonacieux essaya de marcher, fit deux pas et tomba sur ses genoux. 

Milady essaya de la soulever et de l’emporter, mais elle ne put en
venir à bout. 

En ce moment on entendit le roulement de la voiture, qui à la vue des
mousquetaires partait au galop",french
49," Comme il allait passer, le vent s’engouffra dans le long
manteau de Porthos, et d’Artagnan vint donner droit dans le manteau. 
Sans doute, Porthos avait des raisons de ne pas abandonner cette partie
essentielle de son vêtement car, au lieu de laisser aller le pan qu’il
tenait, il tira à lui, de sorte que d’Artagnan s’enroula dans le
velours par un mouvement de rotation qu’explique la résistance de
l’obstiné Porthos",french
50," Good-bye, Mr.  Copperfield! Take care of
yourself, jockey of Norfolk! How I have been rattling on! It’s all
the fault of you two wretches.  I forgive you! “Bob swore!”--as the
Englishman said for “Good night”, when he first learnt French, and
thought it so like English",english
51," I fancied, indeed, that he
sometimes chuckled audibly over this reflection, but the carrier said
he was only troubled with a cough.  The carrier had a way of keeping his
head down, like his horse, and of drooping sleepily forward as he drove,
with one of his arms on each of his knees",english
52," Mr.  Copperfield was very kind to me, and took a great deal of
notice of me, and paid me a good deal of attention, and at last proposed
to me.  And I accepted him.  And so we were married,’ said my mother
simply",english
53," Micawber will be constantly
arrested, or taken in execution. ’

‘Then he must be constantly set free again, and taken out of execution,’
said my aunt.  ‘What’s the amount altogether?’

‘Why, Mr.  Micawber has entered the transactions--he calls them
transactions--with great form, in a book,’ rejoined Traddles, smiling;
‘and he makes the amount a hundred and three pounds, five",english
54," I was willing to do
anything to relieve Mr.  James from his difficulty, and to restore
harmony between himself and an affectionate parent, who has undergone
so much on his account.  Therefore I undertook the commission",english
55," In short, his house--or rather his boat, for he lives in one,
on dry land--is full of people who are objects of his generosity and
kindness.  You would be delighted to see that household. ’

‘Should I?’ said Steerforth",english
56,"

— Non, Sire; mais je dis qu’il se trompe lui-même, je dis qu’il a été
mal renseigné; je dis qu’il a eu hâte d’accuser les mousquetaires de
Votre Majesté, pour lesquels il est injuste, et qu’il n’a pas été
puiser ses renseignements aux bonnes sources",french
57,"
Et si j’ai un conseil à vous donner, c’est de perdre toujours. 

— Excepté vous, Athos, qui n’en avez jamais eu. 

— C’est vrai, dit Athos après un moment de silence, je n’en ai jamais
eu, moi.  Buvons!

— Mais alors, philosophe que vous êtes, dit d’Artagnan, instruisez-moi,
soutenez-moi; j’ai besoin de savoir et d’être consolé",french
58,"

— J’ai cinq cents pistoles à peu près. 

— J’en ai autant: avec mille pistoles on fait face à tout; videz vos
poches. 

— Voilà, comtesse. 

— Bien, mon cher comte! et vous partez…?

— Dans une heure; le temps de manger un morceau, pendant lequel
j’enverrai chercher un cheval de poste",french
59,"

— Ainsi, tout est convenu? dit-elle. 

— Sauf ce que je vous demande, chère âme!

— Mais, lorsque je vous dis que vous pouvez vous fier à ma tendresse?

— Je n’ai pas de lendemain pour attendre. 

— Silence; j’entends mon frère: il est inutile qu’il vous trouve ici",french
60," He told me that what she had said of being here,
and there, and everywhere, was true enough; for she made little darts
into the provinces, and seemed to pick up customers everywhere, and to
know everybody",english
61,"

‘Tell me what it is,’ she said, in a low voice. 

‘I think--shall I be quite plain, Agnes, liking him so much?’

‘Yes,’ she said. 

‘I think he does himself no good by the habit that has increased upon
him since I first came here",english
62," If he was to make so
bold as say a word to me, I should slap his face. ’

Her own was as red as ever I saw it, or any other face, I think; but she
only covered it again, for a few moments at a time, when she was taken
with a violent fit of laughter; and after two or three of those attacks,
went on with her dinner",english
63,"

«Eh bien? continua-t-elle. 

— Eh bien, je vous vengerai de ce misérable, reprit d’Artagnan en se
donnant des airs de don Japhet d’Arménie. 

— Merci, mon brave ami! s’écria Milady; et quand serai-je vengée?

— Demain, tout de suite, quand vous voudrez",french
64," Tout à coup, il poussa un cri terrible. 

«Qu’y a-t-il? demanda d’Artagnan avec inquiétude, et que vous
arrive-t-il, Milord?

— Il y a que tout est perdu, s’écria Buckingham en devenant pâle comme
un trépassé; deux de ces ferrets manquent, il n’y en a plus que dix",french
65,"

‘And yet,’ he added, ‘Mas’r Davy, I have felt so sure as she was
living--I have know’d, awake and sleeping, as it was so trew that I
should find her--I have been so led on by it, and held up by it--that I
doen’t believe I can have been deceived",english
66," It’s not a foolish fancy.  I want, very much indeed, to
see her!’

‘I am certain of it.  I have only to tell her so, and she is sure to
come. ’

‘You are very lonely when you go downstairs, now?’ Dora whispers, with
her arm about my neck",english
67," I am sure I am not ungrateful.  No one ever said I was
before.  I have many faults, but not that.  Oh, don’t, my dear!’

‘When Jane Murdstone meets, I say,’ he went on, after waiting until my
mother was silent, ‘with a base return, that feeling of mine is chilled
and altered",english
68,"

«Qu’est-ce que cela? dit Aramis en voyant ce qui se passait; rien que
les selles?

— Comprenez-vous maintenant? dit Athos. 

— Mes amis, c’est exactement comme moi.  J’ai conservé le harnais, par
instinct",french
69,"

— Mais je vous ferai perdre l’équilibre, et nous nous briserons tous
les deux. 

— Soyez tranquille, je suis marin. »

Il n’y avait pas une seconde à perdre; Milady passa ses deux bras
autour du cou de Felton et se laissa glisser hors de la fenêtre",french
70," There’s
time, and to spare, for me to go and come back before the ship sails.  My
mind is constantly running on him, in his solitude; to put this letter
of her writing in his hand at this time, and to enable you to tell her,
in the moment of parting, that he has got it, will be a kindness to
both of them",english
71,"

D’Artagnan poussa un cri de surprise, qui n’était pas exempt d’un
mélange de joie. 

«Ah! mon cheval jaune! s’écria-t-il.  Aramis, regardez ce cheval!

— Oh! l’affreux roussin! dit Aramis. 

— Eh bien, mon cher, reprit d’Artagnan, c’est le cheval sur lequel je
suis venu à Paris",french
72," He is severe.  He is
estranged from our eldest son and daughter, he has no pride in his
twins, he looks with an eye of coldness even on the unoffending stranger
who last became a member of our circle",english
73," What’s your motive in this?’

‘Deuce take the man!’ exclaimed my aunt.  ‘Always fishing for motives,
when they’re on the surface! Why, to make the child happy and useful. 
There’s the difference. ’

‘But he could board somewhere else, I suppose?’ suggested my aunt",english
74," Micawber gave Mrs.  Micawber
his arm, and glancing at the heap of books and papers lying before
Traddles on the table, said they would leave us to ourselves; which they
ceremoniously did. 

‘My dear Copperfield,’ said Traddles, leaning back in his chair when
they were gone, and looking at me with an affection that made his eyes
red, and his hair all kinds of shapes, ‘I don’t make any excuse for
troubling you with business, because I know you are deeply interested
in it, and it may divert your thoughts",english
75,"’

The advent of Mrs.  Gummidge with a basket, explained how the house had
happened to be empty.  She had hurried out to buy something that was
needed, against Mr.  Peggotty’s return with the tide; and had left the
door open in the meanwhile, lest Ham and little Em’ly, with whom it was
an early night, should come home while she was gone",english
76," Peggotty
became inspired when he thought of his little favourite.  He stands
before me again, his bluff hairy face irradiating with a joyful love and
pride, for which I can find no description.  His honest eyes fire up, and
sparkle, as if their depths were stirred by something bright",english
77,"

— Écoutez, dit la novice, il faut avoir bon espoir dans le Ciel,
voyez-vous; il vient toujours un moment où le bien que l’on a fait
plaide votre cause devant Dieu, et, tenez, peut-être est-ce un bonheur
pour vous, tout humble et sans pouvoir que je suis, que vous m’ayez
rencontrée: car, si je sors d’ici, eh bien, j’aurai quelques amis
puissants, qui, après s’être mis en campagne pour moi, pourront aussi
se mettre en campagne pour vous",french
78," Patrice, par discrétion, se
tint à l’écart. 

«Il n’est point arrivé malheur à la reine? s’écria Buckingham,
répandant toute sa pensée et tout son amour dans cette interrogation. 

— Je ne crois pas; cependant je crois qu’elle court quelque grand péril
dont Votre Grâce seule peut la tirer",french
79," There will be no more of it.  You
shall know by and by.  Now Agnes, my dear, let us attend to these
affairs. ’

‘I must do Mr.  Micawber the justice to say,’ Traddles began, ‘that
although he would appear not to have worked to any good account for
himself, he is a most untiring man when he works for other people",english
80,"

— C’est vrai, répondit d’Artagnan; je n’ai pas l’habit, mais j’ai
l’âme.  Mon coeur est mousquetaire, je le sens bien, monsieur, et cela
m’entraîne. »

D’Artagnan ne bougea point. 

«Décidément vous êtes un joli garçon, dit Athos en serrant la main du
jeune homme",french
81,"’

‘It must be a mixed motive, I think,’ said Mr.  Wickfield, shaking his
head and smiling incredulously. 

‘A mixed fiddlestick,’ returned my aunt.  ‘Other people have dozens, scores, hundreds.  I have only one",english
82,"

Cette fois, il n’y avait plus de doute, c’était à la Croix-du- Trahoir
qu’on exécutait les criminels subalternes.  Bonacieux s’était flatté en
se croyant digne de Saint-Paul ou de la place de Grève: c’était à la
Croix-du-Trahoir qu’allaient finir son voyage et sa destinée! Il ne
pouvait voir encore cette malheureuse croix, mais il la sentait en
quelque sorte venir au-devant de lui",french
83," The victim, from my cradle, of
pecuniary liabilities to which I have been unable to respond, I have
ever been the sport and toy of debasing circumstances.  Ignominy,
Want, Despair, and Madness, have, collectively or separately, been the
attendants of my career",english
84," Micawber was
of opinion that it would be rash not to come on, and see the Cathedral. 
Firstly, on account of its being so well worth seeing, and our never
having seen it; and secondly, on account of the great probability of
something turning up in a cathedral town",english
85,"
There’s a strong resemblance between you and your poor father, sir. ’

‘I never had the happiness of seeing my father,’ I observed. 

‘Very true, sir,’ said Mr.  There must be great excitement here, sir,’
said Mr",english
86," D’Artagnan
avait son épée et passa deux pistolets à sa ceinture, puis tous deux
enfourchèrent chacun un cheval et s’éloignèrent sans bruit.  Il faisait
nuit close, et personne ne les vit sortir.  Planchet se mit à la suite
de son maître, et marcha par-derrière à dix pas",french
87," I make no counter-accusations.  But I am sorry to
repeat, it is impossible.  Such a marriage would irretrievably blight my
son’s career, and ruin his prospects.  Nothing is more certain than
that it never can take place, and never will",english
88," C’était tout simple, il habitait
l’hôtel.  Il trouva Buckingham assis devant une table dans sa chambre à
coucher, et écrivant quelques ordres de sa propre main. 

«Monsieur Jackson, lui dit-il, vous allez vous rendre de ce pas chez le
lord-chancelier, et lui dire que je le charge de l’exécution de ces
ordres",french
89," Demain je vous reverrai pour vous
faire mes adieux!»

Et sur ces paroles le baron sortit. 

Milady avait écouté toute cette menaçante tirade le sourire du dédain
sur les lèvres, mais la rage dans le coeur",french
90," Chillip, in a soothing tone.  ‘And very much
to be deplored it was, on all accounts! We are not ignorant, sir,’ said
Mr.  Chillip, slowly shaking his little head again, ‘down in our part of
the country, of your fame",english
91,"

«J’étais bien ivre hier, mon cher d’Artagnan, dit-il, j’ai senti cela
ce matin à ma langue, qui était encore fort épaisse, et à mon pouls qui
était encore fort agité; je parie que j’ai dit mille extravagances",french
92," Then Traddles and I played
a game or two at cribbage; and Dora singing to the guitar the while,
it seemed to me as if our courtship and marriage were a tender dream
of mine, and the night when I first listened to her voice were not yet
over",english
93," Je ne puis
me rappeler si c’était par le fer ou par le poison; seulement ce dont
je suis sûr, c’est que j’ai rêvé qu’il était mort, et, vous le savez,
mes rêves ne me trompent jamais.  Assurez-vous donc de me voir revenir
bientôt",french
94," ‘I
wish with all my soul I could guide myself better!’

There was a passionate dejection in his manner that quite amazed me.  He
was more unlike himself than I could have supposed possible. 

‘It would be better to be this poor Peggotty, or his lout of a nephew,’
he said, getting up and leaning moodily against the chimney-piece, with
his face towards the fire, ‘than to be myself, twenty times richer and
twenty times wiser, and be the torment to myself that I have been, in
this Devil’s bark of a boat, within the last half-hour!’

I was so confounded by the alteration in him, that at first I could only
observe him in silence, as he stood leaning his head upon his hand, and
looking gloomily down at the fire",english
95," Not proud in his wisdom. 
Humble, humble--condescending even to poor Dick, who is simple and knows
nothing.  I have sent his name up, on a scrap of paper, to the kite,
along the string, when it has been in the sky, among the larks",english
96," Her Christian name is Clara. ’

‘Is it though?’ said Mr. ” Says she, perhaps, “Answer to what?” Says you, “To what I
told you. ” “What is that?” says she.  “Barkis is willin’,” says you. ’

This extremely artful suggestion Mr",english
97," I am not afraid of him, I am not proud, I am ready to take care
of him, and shall not ill-treat him as some people (besides the
asylum-folks) have done. ” After a good deal of squabbling,’ said my
aunt, ‘I got him; and he has been here ever since",english
98," He is a difficult subject. ’

That old, double look was on me for a moment; and then his eyes darkened
with a frown, as it turned, in its aversion, elsewhere. 

‘Humph!’ said Mr.  Quinion, looking at us both, I thought",english
99," Cependant il n’avait point perdu de vue Milady, et dans la glace
il s’aperçut du changement qui venait de s’opérer sur son visage. 

D’Artagnan échangea une poignée de main avec Lord de Winter et revint
près de Milady",french
100,"’

I was too sorrowful to discuss the question, which would possibly have
been beyond me under any circumstances; and Mr. 

‘I have been acquainted with you,’ said Mr.  Omer, after watching me
for some minutes, during which I had not made much impression on the
breakfast, for the black things destroyed my appetite, ‘I have been
acquainted with you a long time, my young friend",english
101," I know that, but for
the mercy of God, I might easily have been, for any care that was taken
of me, a little robber or a little vagabond. 

Yet I held some station at Murdstone and Grinby’s too.  Besides that Mr",english
102,"

‘Ha! Phoebus!’ said Mr.  Dick, laying down his pen.  ‘How does the world
go? I’ll tell you what,’ he added, in a lower tone, ‘I shouldn’t wish it
to be mentioned, but it’s a--’ here he beckoned to me, and put his lips
close to my ear--‘it’s a mad world",english
103,"

En conséquence il allait, vaincu par sa répugnance pour cet homme,
passer devant lui sans lui parler, quand, ainsi que la veille, M. 
Bonacieux l’interpella. 

«Eh bien, jeune homme, lui dit-il, il paraît que nous faisons de
grasses nuits? Sept heures du matin, peste! Il me semble que vous
retournez tant soit peu les habitudes reçues, et que vous rentrez à
l’heure où les autres sortent",french
104,"

Milady vit le trouble, elle sentait par intuition la flamme des
passions opposées qui brûlaient avec le sang dans les veines du jeune
fanatique; et, pareille à un général habile qui, voyant l’ennemi prêt à
reculer, marche sur lui en poussant un cri de victoire, elle se leva,
belle comme une prêtresse antique, inspirée comme une vierge chrétienne
et, le bras étendu, le col découvert, les cheveux épars retenant d’une
main sa robe pudiquement ramenée sur sa poitrine, le regard illuminé de
ce feu qui avait déjà porté le désordre dans les sens du jeune
puritain, elle marcha vers lui, s’écriant sur un air véhément, de sa
voix si douce, à laquelle, dans l’occasion, elle donnait un accent
terrible:

Livre à Baal sa victime",french
105,"

— La belle mine que nous aurons sur des bidets, tandis qu’Aramis et
Porthos caracoleront sur leurs chevaux!

— Aramis! Porthos! s’écria Athos, et il se mit à rire. 

— Quoi? demanda d’Artagnan, qui ne comprenait rien à l’hilarité de son
ami",french
106," She described to us how
tenderly he had taken leave of her, and how manfully and quietly he
had borne himself.  Most of all, of late, when she believed he was most
tried.  It was a subject of which the affectionate creature never tired;
and our interest in hearing the many examples which she, who was so much
with him, had to relate, was equal to hers in relating them",english
107," The
door was then thrown open, and the general population began to come in,
in a long file: several waiting outside, while one entered, affixed his
signature, and went out.  To everybody in succession, Captain Hopkins
said: ‘Have you read it?’--‘No",english
108,"

«Pardon, pardon! s’écria Felton, oh! pardon!»

Milady lut dans ses yeux: Amour, amour. 

«Pardon de quoi? demanda-t-elle. 

Felton était puritain: il quitta la main de cette femme pour baiser ses
pieds",french
109," D’Artagnan, tu es un grand homme, et quand tu
seras à la place de M.  de Tréville, je te demande ta protection pour me
faire avoir une abbaye. 

— Ah çà, je m’y perds, dit Porthos, vous approuvez ce que d’Artagnan
vient de faire?

— Je le crois parbleu bien, dit Athos; non seulement j’approuve ce
qu’il vient de faire, mais encore je l’en félicite",french
110," Un beau garçon comme
vous n’obtient pas de longs congés de sa maîtresse, et nous étions
impatiemment attendu à Paris, n’est-ce pas?

— Ma foi, dit en riant le jeune homme, je vous l’avoue, d’autant mieux,
mon cher monsieur Bonacieux, que je vois qu’on ne peut rien vous
cacher",french
111,"

— Quant à ce qui est de faire remettre sûrement une lettre à Sa
Majesté, proposa Aramis en rougissant, moi, je m’en charge; je connais
à Tours une personne adroite…»

Aramis s’arrêta en voyant sourire Athos",french
112," Micawber in reference to my age, or whether she was so
full of the subject that she would have talked about it to the very
twins if there had been nobody else to communicate with, but this was
the strain in which she began, and she went on accordingly all the time
I knew her",english
113," Gummidge, and only wished that
a lion or a serpent, or any ill-disposed monster, would make an attack
upon us, that I might destroy him, and cover myself with glory.  But as
nothing of the sort happened to be walking about on Yarmouth flats that
night, I provided the best substitute I could by dreaming of dragons
until morning",english
114,"

— Parlez pour vous seul, Porthos, quand vous aurez à dire de pareilles
incongruités, interrompit Aramis.  Quant à moi, je trouve les choses que
ces messieurs se disent fort bien dites et tout à fait dignes de deux
gentilshommes",french
115,"

‘Much obliged to you, Peggotty,’ returned my mother, in a cheerful
voice, ‘I have had a VERY pleasant evening. ’

‘A stranger or so makes an agreeable change,’ suggested Peggotty. 

‘A very agreeable change, indeed,’ returned my mother",english
116," David,
for the sake of old times, do, please, try to help me! I want to be a
better girl than I am.  I want to feel a hundred times more thankful than
I do.  I want to feel more, what a blessed thing it is to be the wife of
a good man, and to lead a peaceful life",english
